sample_size,scale,original_n,source,name,value,power,scale2,sd_item,new_sample
235,1,20,High Variance,Decile 0,0.8,80,Small Scale,0.934528892365487,235
60,1,20,Low Variance,Decile 0,0.833333333333333,80,Small Scale,0.289316170594341,60
75,2,20,Low Variance,Decile 0,0.8,80,Medium Scale,6.20596315956708,75
80,3,20,Low Variance,Decile 0,0.8,80,Large Scale,86.9954700892336,80
80,1,20,Medium Variance,Decile 0,0.8,80,Small Scale,0.467834320353414,80
295,2,20,Medium Variance,Decile 0,0.8,80,Medium Scale,12.3121945166107,295
180,3,20,Medium Variance,Decile 0,0.866666666666667,80,Large Scale,122.959157745714,180
105,1,20,High Variance,Decile 10,0.8,80,Small Scale,0.934528892365487,105
210,2,20,High Variance,Decile 10,0.8,80,Medium Scale,12.5330879824727,210
170,3,20,High Variance,Decile 10,0.833333333333333,80,Large Scale,153.043465250233,170
40,1,20,Low Variance,Decile 10,0.9,80,Small Scale,0.289316170594341,40
60,2,20,Low Variance,Decile 10,0.9,80,Medium Scale,6.20596315956708,60
55,3,20,Low Variance,Decile 10,0.8,80,Large Scale,86.9954700892336,55
50,1,20,Medium Variance,Decile 10,0.866666666666667,80,Small Scale,0.467834320353414,50
150,2,20,Medium Variance,Decile 10,0.8,80,Medium Scale,12.3121945166107,150
90,3,20,Medium Variance,Decile 10,0.8,80,Large Scale,122.959157745714,90
55,1,20,High Variance,Decile 20,0.8,80,Small Scale,0.934528892365487,55
80,2,20,High Variance,Decile 20,0.833333333333333,80,Medium Scale,12.5330879824727,80
90,3,20,High Variance,Decile 20,0.8,80,Large Scale,153.043465250233,90
35,1,20,Low Variance,Decile 20,0.8,80,Small Scale,0.289316170594341,35
40,2,20,Low Variance,Decile 20,0.933333333333333,80,Medium Scale,6.20596315956708,40
45,3,20,Low Variance,Decile 20,0.833333333333333,80,Large Scale,86.9954700892336,45
45,1,20,Medium Variance,Decile 20,0.866666666666667,80,Small Scale,0.467834320353414,45
90,2,20,Medium Variance,Decile 20,0.833333333333333,80,Medium Scale,12.3121945166107,90
65,3,20,Medium Variance,Decile 20,0.8,80,Large Scale,122.959157745714,65
50,1,20,High Variance,Decile 30,0.8,80,Small Scale,0.934528892365487,50
65,2,20,High Variance,Decile 30,0.833333333333333,80,Medium Scale,12.5330879824727,65
50,3,20,High Variance,Decile 30,0.8,80,Large Scale,153.043465250233,50
30,1,20,Low Variance,Decile 30,0.8,80,Small Scale,0.289316170594341,30
