,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9429"
accordeon,accordion,8,15,12,20,-1,17,20,16,12,15,20,14,14,14,20,20,12,5,17,13,16,19,16,3,5,9,20,20,14.51851852,5.033505969,27,,
banjo,banjo,8,10,12,19,1,8,20,12,10,10,10,6,12,14,12,20,12,3,16,8,15,18,17,8,15,3,20,20,12.10714286,5.45241561,28,,
basgitaar,bass guitar,8,15,12,19,10,7,20,20,15,10,20,16,13,18,20,20,12,15,19,19,17,19,18,16,17,16,20,20,16.10714286,3.937843795,28,,
cello,cello,19,10,14,20,5,16,20,14,8,7,20,12,16,18,18,20,11,10,20,14,20,18,14,13,20,14,20,20,15.39285714,4.565079089,28,,
cimbalen,cymbals,7,8,8,20,-1,8,20,10,12,5,10,8,14,14,9,20,9,8,12,-1,8,9,15,14,17,8,20,12,11.73076923,4.565590365,26,,
contrabas,double bass,8,15,16,20,14,15,20,18,11,10,20,9,17,17,18,20,11,7,17,13,11,18,16,12,20,12,20,20,15.17857143,4.128075253,28,,
doedelzak,bagpipe,7,15,13,19,-1,15,20,14,5,10,10,14,13,14,16,20,10,5,17,9,11,19,14,16,19,9,20,20,13.85185185,4.630199395,27,,
drumstel,drum set,18,12,12,18,10,13,20,20,15,20,20,20,13,19,18,20,12,20,19,20,14,15,20,12,16,17,20,20,16.89285714,3.381203881,28,,
dwarsfluit,flute,8,15,16,20,16,20,20,18,15,15,20,13,17,18,20,20,14,8,18,16,20,18,16,17,20,9,20,20,16.67857143,3.64187143,28,,
fagot,bassoon,15,5,15,20,10,16,20,14,3,6,18,2,14,18,9,20,7,8,18,12,10,19,10,9,20,8,20,20,13.07142857,5.785861256,28,,
fluit,flute,16,12,14,20,20,20,20,16,17,20,15,16,17,17,20,20,14,10,16,13,16,17,20,14,20,6,20,20,16.64285714,3.561255352,28,,
gitaar,guitar,16,20,20,20,20,11,20,20,18,20,20,20,16,19,20,20,20,12,20,20,19,19,19,15,20,19,20,20,18.67857143,2.450299625,28,,
harp,harp,18,15,11,20,10,14,20,16,7,7,18,7,15,15,17,20,13,10,19,15,19,17,18,14,20,12,20,20,15.25,4.256802834,28,,
klarinet,clarinet,14,18,17,20,15,14,20,18,10,12,18,8,17,18,20,20,11,7,18,13,17,18,17,17,20,14,20,20,16.10714286,3.774566796,28,,
klavecimbel,harpsichord,14,14,12,20,2,11,1,14,3,3,10,3,13,15,17,20,9,7,19,-1,10,17,14,1,15,12,20,20,11.7037037,6.250014245,27,,
mondharmonica,harmonica,7,14,15,20,8,17,20,18,7,19,10,9,13,14,16,20,8,3,14,15,17,12,17,5,17,10,20,20,13.75,5.074445783,28,,
orgel,organ,15,10,10,20,11,18,20,16,8,8,10,5,15,14,15,20,6,10,17,11,18,18,18,6,20,7,20,20,13.78571429,5.116112115,28,,
panfluit,pan flute,8,5,7,18,1,5,20,12,9,9,5,10,12,13,7,20,9,15,16,-1,10,11,14,15,10,11,20,20,11.55555556,5.19121546,27,,
piano,piano,20,20,20,20,20,20,20,20,16,20,20,20,17,19,20,20,19,20,20,20,20,19,19,17,20,20,20,20,19.5,1.071516751,28,,
saxofoon,saxophone,12,18,18,20,15,18,20,18,9,15,15,12,17,18,20,20,14,15,18,14,19,18,16,13,20,15,20,20,16.67857143,2.982089392,28,,
synthesizer,synthesizer,7,15,9,20,2,4,20,18,12,18,5,11,9,16,7,20,13,20,17,9,17,17,16,4,1,14,19,18,12.78571429,6.063595944,28,,
tamboerijn,tambourine,13,12,11,19,15,6,15,12,9,5,10,4,10,13,4,20,4,3,10,11,14,14,12,12,18,8,20,14,11.35714286,4.832101649,28,,
triangel,triangle,12,5,7,20,13,3,20,10,8,5,2,9,10,15,11,20,4,3,10,6,1,11,18,3,17,9,20,12,10.14285714,5.979683416,28,,
trombone,trombone,11,17,12,20,13,14,20,14,12,2,20,2,17,17,10,20,9,5,16,7,11,17,14,13,18,6,20,20,13.46428571,5.493984204,28,,
trommel,drum,17,10,17,20,18,6,20,16,16,16,18,20,14,19,17,20,12,18,10,11,13,14,20,12,16,18,20,20,16,3.781044339,28,,
trompet,trumpet,20,18,18,20,14,15,20,18,17,16,18,20,17,17,20,20,15,15,19,14,16,17,20,14,20,19,20,20,17.75,2.170935965,28,,
viool,violin,19,18,19,20,16,18,20,20,16,20,20,20,17,18,20,20,17,10,20,20,18,19,19,13,20,17,20,20,18.35714286,2.376026651,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
