,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9015"
adder,viper,18,17,9,17,5,19,18,6,3,16,5,16,17,20,20,20,9,14,15,20,13,10,5,11,10,13,10,17,13.32142857,5.34064479,28,,
alligator,alligator,5,20,12,18,20,19,20,18,18,15,15,16,1,20,20,20,8,12,14,20,18,20,18,14,12,14,20,16,15.82142857,4.88424202,28,,
boa,boa,20,18,13,18,20,15,20,12,8,16,18,14,11,20,20,20,8,14,12,20,16,1,5,12,9,10,10,17,14.17857143,5.157185361,28,,
cobra,cobra,20,19,17,19,18,18,20,14,9,18,18,14,11,20,20,20,7,14,13,17,17,1,10,14,18,16,10,16,15.28571429,4.649628761,28,,
dinosaurus,dinosaur,15,20,18,18,20,17,12,5,20,2,10,16,7,20,17,20,5,10,13,17,12,20,5,8,20,10,16,7,13.57142857,5.750546328,28,,
gekko,gecko,20,12,5,15,15,12,18,1,8,10,6,2,20,10,20,20,6,13,10,18,10,10,19,-1,15,17,20,14,12.81481481,5.744810615,27,,
hagedis,lizard,19,17,17,1,20,20,20,18,20,12,16,14,20,20,20,20,10,14,17,20,20,20,20,12,19,20,20,14,17.14285714,4.377673031,28,,
hazelworm,blindworm,-1,10,2,1,1,9,5,3,2,-1,1,1,3,1,-1,10,2,-1,3,14,10,1,2,-1,10,10,-1,8,4.954545455,4.225515159,22,,
kaaiman,caiman,-1,17,13,19,20,7,20,16,19,14,15,4,11,20,20,15,1,15,14,-1,10,15,18,12,10,9,20,13,14.11538462,5.109418151,26,,
kameleon,chameleon,15,13,12,15,10,18,19,14,9,13,8,12,20,20,20,20,10,12,18,14,18,5,19,17,18,17,20,17,15.10714286,4.201757002,28,,
kikker,frog,1,10,3,1,8,20,17,16,6,10,9,18,1,20,1,20,9,10,8,14,19,20,10,19,10,20,1,13,11.21428571,6.871072712,28,,
krokodil,crocodile,5,20,14,18,10,19,20,19,20,14,15,18,18,20,20,20,9,16,20,20,18,18,18,17,15,17,20,17,16.96428571,3.746426869,28,,
leguaan,iguana,16,16,14,17,20,17,20,13,15,15,10,8,15,10,20,20,12,14,17,20,17,10,19,14,18,15,20,13,15.53571429,3.490538989,28,,
pad,toad,2,10,5,2,10,20,17,9,1,9,9,12,18,20,1,20,17,10,10,20,19,20,10,18,10,18,1,16,11.92857143,6.682916703,28,,
python,python,20,19,19,18,20,15,20,12,8,17,18,14,11,20,20,20,9,14,12,20,15,1,10,13,8,17,10,16,14.85714286,4.919457104,28,,
salamander,salamander,2,17,12,2,20,20,19,16,8,12,8,14,20,20,20,20,10,13,5,20,14,20,20,18,20,17,20,13,15,5.767084121,28,,
schildpad,tortoise,5,9,5,5,15,20,7,11,10,5,15,18,18,20,20,20,19,10,20,20,14,15,12,18,12,18,4,13,13.5,5.607534614,28,,
slang,snake,20,19,19,18,20,20,20,15,8,18,18,18,11,20,20,20,11,14,20,20,16,15,15,18,20,19,10,17,17.10714286,3.499622051,28,,
varaan,monitor lizard,18,14,3,17,18,17,19,12,10,12,15,1,12,10,20,20,10,12,13,-1,10,15,18,-1,9,10,20,8,13.19230769,5.028075025,26,,
waterschildpad,turtle,2,11,6,1,10,20,7,10,15,5,5,15,9,20,20,20,10,10,16,20,14,15,10,14,12,11,4,11,11.53571429,5.580934097,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
