suj,congr,item,side,aff-ness,RT,liking
1,valid,G,R,aff,153809.7,4
1,valid,G,R,aff,221712.4,3
1,valid,G,L,aff,48139.7,1
1,valid,G,L,aff,179785.2,3
1,valid,K,R,aff,40859.8,8
1,valid,K,R,aff,212632.6,6
1,valid,K,R,aff,238776.1,6
1,valid,K,L,aff,64699.4,6
1,valid,G,R,non-aff,171297.4,2
1,valid,G,L,non-aff,72331.2,2
1,valid,G,L,non-aff,254143.8,1
1,valid,G,L,non-aff,311046.8,1
1,valid,K,R,non-aff,90658.9,5
1,valid,K,R,non-aff,162057.6,2
1,valid,K,L,non-aff,30732,7
1,valid,K,L,non-aff,204728.8,7
1,valid,K,L,non-aff,286663.2,5
1,invalid,G,R,aff,230264.3,5
1,invalid,G,L,aff,108450.6,2
1,invalid,G,L,aff,187561.1,2
1,invalid,G,L,aff,269783.5,2
1,invalid,K,R,aff,134578.1,6
1,invalid,K,R,aff,143729.9,7
1,invalid,K,R,aff,261823.7,5
1,invalid,K,L,aff,294823.1,4
1,invalid,G,R,non-aff,80899.1,2
1,invalid,G,R,non-aff,100162.7,2
1,invalid,G,R,non-aff,124658.3,3
1,invalid,G,L,non-aff,247088,3
1,invalid,K,R,non-aff,279111.3,7
1,invalid,K,L,non-aff,10708.4,7
1,invalid,K,L,non-aff,116658.4,6
1,invalid,K,L,non-aff,196016.9,5
1,invalid,K,L,non-aff,302294.9,1
1,valid,S,R,aff,59275.5,6
1,valid,S,R,aff,152473.7,4
1,valid,S,R,aff,187025.1,3
1,valid,S,L,aff,284383.3,5
1,valid,L,R,aff,104138.6,6
1,valid,L,R,aff,275255.4,5
1,valid,L,L,aff,10988.4,4
1,valid,L,L,aff,26788.1,3
1,valid,S,R,non-aff,170593.4,5
1,valid,S,L,non-aff,50395.7,1
1,valid,S,L,non-aff,122058.3,3
1,valid,S,L,non-aff,137018,3
1,valid,S,L,non-aff,161537.6,7
1,valid,L,R,non-aff,34659.9,2
1,valid,L,R,non-aff,78075.1,5
1,valid,L,R,non-aff,145041.9,4
1,valid,L,L,non-aff,259135.7,2
1,valid,L,L,non-aff,300118.9,2
1,invalid,S,R,aff,67747.3,3
1,invalid,S,L,aff,44051.8,4
1,invalid,S,L,aff,219760.5,5
1,invalid,S,L,aff,235088.2,3
1,invalid,L,R,aff,113858.5,7
1,invalid,L,R,aff,250767.9,5
