,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9694"
badminton,badminton,17,20,20,20,16,16,20,20,20,18,20,5,14,7,20,15,20,14,14,20,15,7,20,20,15,14,20,20,16.67857143,4.380542596,28,,
ballet,ballet,13,12,14,12,12,18,13,20,18,13,20,1,13,11,10,13,10,7,13,15,14,1,20,12,15,11,18,20,13.17857143,4.84617888,28,,
baseball,baseball,18,12,20,20,14,12,20,17,20,17,20,12,9,20,18,17,20,13,13,20,17,14,20,18,8,12,20,20,16.46428571,3.795534831,28,,
basketbal,basketball,19,20,20,20,18,20,20,20,20,18,20,15,12,20,20,17,20,15,16,20,20,20,20,20,5,18,20,20,18.32142857,3.32280082,28,,
biljarten,billiards,8,1,1,8,11,15,5,12,5,12,1,15,4,14,10,12,10,9,9,15,7,1,10,2,18,2,16,10,8.678571429,5.135595255,28,,
boksen,boxing,13,10,20,19,15,11,19,18,18,14,20,18,15,12,10,18,15,19,14,17,15,13,20,18,6,13,20,20,15.71428571,3.740243039,28,,
golf,golfing,10,6,20,11,12,14,12,10,10,8,20,1,19,13,10,12,10,14,11,15,12,2,15,2,18,10,20,10,11.67857143,5.106666459,28,,
handbal,handball,15,20,20,19,14,12,20,18,20,18,20,10,13,19,20,15,20,15,11,20,18,9,20,15,8,12,20,20,16.46428571,3.957946932,28,,
hardlopen,running,19,18,20,19,13,20,20,20,20,19,20,8,8,17,20,19,20,17,19,20,16,14,20,15,5,19,20,20,17.32142857,4.154904032,28,,
ijshockey,ice hockey,16,20,20,20,14,11,19,19,18,18,20,15,16,20,20,16,20,15,13,20,19,12,20,18,9,15,20,20,17.25,3.20445292,28,,
judo,judo,12,20,20,20,12,13,17,18,20,17,20,15,16,19,15,15,20,18,13,17,18,17,20,15,10,16,17,20,16.78571429,2.897727626,28,,
kogelstoten,shot-put,10,8,10,16,4,11,15,19,15,16,20,2,8,9,10,13,10,14,13,15,13,-1,20,5,8,6,16,20,12.07407407,4.984020048,27,,
paardrijden,horseback riding,19,18,1,12,18,14,19,16,16,10,10,2,6,19,10,17,15,12,16,15,16,16,20,18,12,8,20,20,14.10714286,5.216350972,28,,
rugby,rugby,17,20,20,19,15,17,20,15,20,18,20,10,17,14,20,17,20,16,13,20,20,18,20,18,5,18,20,20,17.39285714,3.54170168,28,,
schaken,chess,5,1,1,10,1,10,12,2,5,7,1,5,7,13,18,12,1,3,1,15,2,1,10,1,15,1,17,10,6.678571429,5.676811647,28,,
schermen,fencing,11,20,20,14,3,14,17,17,16,15,20,2,4,17,10,12,5,9,11,15,10,4,10,5,13,12,17,20,12.25,5.535240635,28,,
skiën,skiing,10,18,20,15,15,14,20,14,16,15,20,15,16,18,20,16,10,13,13,20,16,8,20,16,9,13,18,20,15.64285714,3.571640205,28,,
sportvissen,sport fishing,3,1,1,1,1,5,10,10,5,6,15,1,14,1,10,10,1,4,-1,15,5,-1,10,1,20,1,14,10,6.730769231,5.688990718,26,,
squash,squash,18,20,20,15,16,12,15,20,20,19,20,12,15,5,20,15,20,18,13,20,17,15,20,19,6,20,20,20,16.78571429,4.166507933,28,,
surfen,surfing,17,18,20,10,16,15,15,14,18,12,20,5,10,19,20,18,10,17,12,20,8,11,20,9,9,10,20,20,14.75,4.639803636,28,,
tafeltennis,table tennis,12,20,20,10,4,12,12,15,20,15,20,2,10,12,15,15,10,15,13,15,13,19,20,3,15,-1,20,10,13.59259259,5.153484701,27,,
tennis,tennis,18,20,20,20,18,20,20,20,20,18,20,5,18,5,20,18,20,20,18,20,20,18,20,20,6,17,20,20,17.82142857,4.51379426,28,,
turnen,gymnastics,14,20,20,18,20,18,20,20,19,14,20,20,19,16,10,17,20,17,14,20,18,5,20,10,12,15,20,20,17,3.93465138,28,,
verspringen,long jump,15,8,20,13,13,15,20,20,15,16,20,2,13,7,10,15,20,18,15,20,14,10,20,10,12,10,20,20,14.67857143,4.853815387,28,,
voetbal,soccer,19,20,20,20,20,20,20,20,20,16,20,20,17,19,20,18,20,20,16,20,20,20,20,20,5,20,20,20,18.92857143,2.980536509,28,,
volleybal,volleyball,19,20,20,17,16,19,20,20,20,19,20,10,15,20,20,18,20,18,15,20,20,20,20,20,5,18,20,20,18.17857143,3.453967889,28,,
wandelen,walking,2,2,1,4,10,12,10,12,13,9,19,1,4,17,1,15,5,3,10,15,10,3,5,2,10,9,17,20,8.607142857,5.927583267,28,,
wielrennen,cycling,16,20,20,20,15,20,20,20,20,18,20,15,10,15,20,15,20,14,14,20,19,20,20,18,5,17,20,20,17.53571429,3.656370826,28,,
zeilen,sailing,9,18,20,14,2,12,14,14,16,11,20,1,5,16,20,13,10,12,8,15,6,9,15,5,10,7,16,10,11.71428571,5.205816852,28,,
zwemmen,swimming,18,20,20,20,16,15,20,20,20,17,20,5,13,19,20,18,20,17,18,20,18,19,20,18,6,20,19,20,17.71428571,3.876397171,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
